seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
8,C2,0,0.3,0.695000,0.460000,0.600000,-0.095000,0.126029,1.656477,1.662200
8,Baseline,0,0.5,0.605000,0.770000,0.740000,0.135000,0.162395,1.969967,2.402602
8,A,0,0.5,0.605000,0.600000,0.600000,-0.005000,0.133690,0.000000,2.279938
8,C1,avg30,0.5,0.605000,0.000000,0.681667,0.076667,0.000000,0.000000,0.000000
8,C2,0,0.5,0.605000,0.455000,0.550000,-0.055000,0.060538,1.818439,2.380769
8,Baseline,0,0.7,0.500000,0.615000,0.605000,0.105000,0.069142,2.018219,3.041520
8,A,0,0.7,0.500000,0.510000,0.505000,0.005000,0.092628,0.000000,3.010940
8,C1,avg30,0.7,0.500000,0.000000,0.559667,0.059667,0.000000,0.000000,0.000000
8,C2,0,0.7,0.500000,0.425000,0.485000,-0.015000,0.087816,2.009124,3.055995
8,Baseline,0,1.0,0.440000,0.465000,0.430000,-0.010000,0.179869,2.134494,4.018885
8,A,0,1.0,0.440000,0.375000,0.390000,-0.050000,0.191414,0.000000,4.044320
8,C1,avg30,1.0,0.440000,0.000000,0.435167,-0.004833,0.000000,0.000000,0.000000
8,C2,0,1.0,0.440000,0.375000,0.385000,-0.055000,0.218776,2.280846,4.032119
9,Baseline,0,0.1,1.000000,1.000000,1.000000,0.000000,0.099198,2.828388,2.514571
9,A,0,0.1,1.000000,1.000000,0.995000,-0.005000,0.404007,0.000000,0.538987
9,C1,avg30,0.1,1.000000,0.000000,0.861000,-0.139000,0.000000,0.000000,0.000000
9,C2,0,0.1,1.000000,0.700000,0.775000,-0.225000,0.257830,3.368502,1.213233
9,Baseline,0,0.2,0.940000,0.995000,1.000000,0.060000,0.109849,2.759610,2.642202
9,A,0,0.2,0.940000,0.960000,0.940000,0.000000,0.363871,0.000000,1.119397
9,C1,avg30,0.2,0.940000,0.000000,0.829667,-0.110333,0.000000,0.000000,0.000000
9,C2,0,0.2,0.940000,0.755000,0.790000,-0.150000,0.205518,3.371012,1.407291
9,Baseline,0,0.3,0.865000,0.980000,0.985000,0.120000,0.116838,2.711615,2.816106
9,A,0,0.3,0.865000,0.885000,0.880000,0.015000,0.314176,0.000000,1.694426
9,C1,avg30,0.3,0.865000,0.000000,0.781667,-0.083333,0.000000,0.000000,0.000000
9,C2,0,0.3,0.865000,0.740000,0.760000,-0.105000,0.188196,3.384676,1.731490
9,Baseline,0,0.5,0.705000,0.865000,0.880000,0.175000,0.080921,2.690685,3.360612
9,A,0,0.5,0.705000,0.735000,0.735000,0.030000,0.174851,0.000000,2.781724
9,C1,avg30,0.5,0.705000,0.000000,0.663167,-0.041833,0.000000,0.000000,0.000000
9,C2,0,0.5,0.705000,0.690000,0.695000,-0.010000,0.115129,3.439418,2.561729
9,Baseline,0,0.7,0.590000,0.750000,0.740000,0.150000,0.058511,2.801143,4.122688
9,A,0,0.7,0.590000,0.625000,0.620000,0.030000,0.083063,0.000000,3.766890
9,C1,avg30,0.7,0.590000,0.000000,0.570167,-0.019833,0.000000,0.000000,0.000000
9,C2,0,0.7,0.590000,0.625000,0.600000,0.010000,0.076518,3.516581,3.404480
9,Baseline,0,1.0,0.480000,0.565000,0.570000,0.090000,0.189830,3.003884,5.397429
9,A,0,1.0,0.480000,0.490000,0.465000,-0.015000,0.174974,0.000000,5.216773
9,C1,avg30,1.0,0.480000,0.000000,0.474833,-0.005167,0.000000,0.000000,0.000000
9,C2,0,1.0,0.480000,0.565000,0.485000,0.005000,0.159926,3.629487,4.566017
