seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
9,C2_datamatched,109,0.2,0.945,0.74,0.695,-0.25,0.13795512037530977,3.4798733705458607,1.7742687204627479
0,C2_datamatched,100,0.1,1.0,0.835,0.81,-0.18999999999999995,0.20521019682818908,2.443036699787198,1.4485822513273758
1,C2_datamatched,101,0.1,0.85,0.82,0.95,0.09999999999999998,0.22748106699784768,2.28627944959855,1.930092960844549
2,C2_datamatched,102,0.1,0.985,1.0,1.0,0.015000000000000013,0.20904675971204978,2.3559221187808608,1.5177271005793609
3,C2_datamatched,103,0.1,0.81,0.56,0.5,-0.31000000000000005,0.3615472945276105,2.9642250523241107,2.1639762558412063
4,C2_datamatched,104,0.1,0.995,0.785,0.8,-0.19499999999999995,0.2592644444484938,2.0044594128518405,1.7613503503280672
5,C2_datamatched,105,0.1,0.895,0.99,1.0,0.10499999999999998,0.20884684964000547,2.691791171974171,1.272486207730482
6,C2_datamatched,106,0.1,0.63,0.805,0.71,0.07999999999999996,0.33352325032654334,2.365460395810201,0.8082855294722653
7,C2_datamatched,107,0.1,1.0,0.84,0.64,-0.36,0.2484405129237126,2.16217094513002,1.196195264610226
8,C2_datamatched,108,0.1,0.9,0.95,0.86,-0.040000000000000036,0.24860151513795825,2.141505020332598,1.2439127479284224
9,C2_datamatched,109,0.1,0.96,0.84,0.735,-0.22499999999999998,0.13612291395487452,3.40040560673414,1.8722074990986852
